Unnamed: 0,Dominant_Topic,Perc_Contribution,Topic_Keywords,tweet_tokenizado,url,tweet,dia,mes,año,latitud,longitud,alcaldia,termino
654,1,0.4216,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['dosis', 'benito', 'juez', 'astrazeneca', 'semana', 'acabar', 'vacuna', 'ruso', 'vacuna', 'astrazeneca']",https://twitter.com/Irving165824076/status/1445156792753852416,@SSaludCdMx Y los de la segunda dosis de Benito Juárez de Astra zeneca de 18 a 29 esa semana en la cual se acabó la vacuna rusa y pusieron la vacuna Astrazeneca????,4,10,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
701,1,0.4444,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['dosis', 'vacuna', 'astrazeneca', 'benito', 'juez', 'astrazeneca', 'cubrebocas']",https://twitter.com/sandac77/status/1428153241305501700,"@Milenio @Claudiashein @HLGatell @BJAlcaldia 
¿Para cuándo la segunda dosis de la vacuna Astra Zeneca en Benito Juárez para los de 40 a 49?
#URGENTE AstraZeneca
#COVID19mx #UsaCubrebocas",18,8,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
736,1,0.4705,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['hora', 'fila', 'vacuna', 'benito', 'juez', 'hora', 'sano', 'distancia', 'gente', 'comer', 'fumar', 'malo', 'planificacion']",https://twitter.com/marbretonk/status/1420151171323465728,"Me tarde 3 horas en la fila de la vacuna Benito Juárez. 
3 horas, sin sana distancia, la gente comiendo y fumando!!! 
Que mala planificación.",27,7,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
865,1,0.4701,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['saludo', 'hermano', 'acompane', 'mama', 'benito', 'juez', 'tocar', 'astrazeneca', 'presentar', 'reaccion', 'vacuna', 'dolor cuerpo', 'dolor', 'articulacion', 'dolor cabeza', 'paracetamol', 'librar']",https://twitter.com/Marioelmaestro/status/1379624579228917761,"@chix Saludos Hermano!
Yo acompañé a mi Mamá en la Benito Juárez y le tocó AstraZeneca, le fue bien, pero sin presentó reacción a la vacuna, por día y medio tuvo dolor de cuerpo, dolor de articulaciones y un poco de dolor de cabeza, pero con paracetamol la libró bien.",6,4,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
873,1,0.5093,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['vacuna', 'benito', 'juez', 'cuauhtemoc', 'astrazeneca', 'mama', 'sueno', 'tios', 'efecto', 'vacuna', 'suponer', 'comentaron', 'sueno', 'fiebre', 'dolor brazo']",https://twitter.com/humbezavala/status/1378332208231030787,"@Elkekeke @camelia03499471 Si se vacuno en Benito Juarez o Cuauhtemoc fue la de AstraZeneca y a mi mama tambien le dio mucho sueño y a dos tios también, es un efecto de la vacuna quiero suponer... pero nunca nos comentaron nada del sueño solo fiebre y dolor en el brazo... pero de ahi en fuera todo bien 🙏🏻",3,4,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
881,1,0.4865,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['ironio', 'vida', 'demarcacion', 'benito', 'juez', 'esencia', 'puro', 'neopanismo', 'extremo', 'aplicar', 'vacuna', 'ruso', 'sputnik', 'raiz', 'socialistasver', 'creer']",https://twitter.com/ErghuinN/status/1377031735423205376,"@Navegaciones Ironías de la vida, en la Demarcación Benito Juárez esencia pura del neopanismo en extremo les aplican la vacuna Rusa Sputnik V de raíces socialistas...ver para creer",30,3,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
936,1,0.3401,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['internacional', 'primero', 'lote', 'vacuna', 'sputnik', 'rusia', 'covid', 'llegar', 'noche', 'lunes', 'aeropuerto', 'internacional', 'benito', 'juez', 'ciudad', 'mexico', 'patria', 'libre', 'soberano']",https://twitter.com/corpindustrias/status/1364356868097859588,"#Internacional 🌐|| El primer lote de la vacuna Sputnik V, de Rusia, contra la Covid-19 llegó la noche de este lunes al Aeropuerto Internacional Benito Juárez de la Ciudad de México.

📌 https://t.co/d0l1vmGhXD

#PatriaLibreYSoberana https://t.co/XxA9DMPZlE",23,2,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
941,1,0.2758,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['me', 'recibir', 'primero', 'lote', 'vacuna', 'ruso', 'sputnik', 'aeropuerto', 'internacional', 'benito', 'juez', 'velar', 'fe', 'feliz', 'martes', 'fix', 'you', 'mako', 'puente', 'tigre', 'circuito', 'global']",https://twitter.com/CircuitoPlay1/status/1364245546056048640,"#MÉXICO | Recibe primer lote de vacuna rusa Sputnik-V al Aeropuerto Internacional Benito Juárez.
.
TT en #Vzla: #23Feb #FelizMartes FIX YOU Hace 2 #Makro #Puentes El Tigre
#CircuitoGlobal https://t.co/mQhDL7SbPt",23,2,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
942,1,0.4362,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['arribo', 'anoche', 'aeropuerto', 'internacional', 'benito', 'juez', 'primero', 'lote', 'vacuna', 'sputnik', 'unnimedios']",https://twitter.com/UnnimediosMx/status/1364232343263866884,"🔴💉 Arribó anoche al Aeropuerto Internacional Benito Juárez de la #CDMX el primer lote de la vacuna 💉 #SputnikV @sputnikvaccine 

#Unnimedios @m_ebrard @SSalud_mx https://t.co/hUhA2qIQUz",23,2,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
945,1,0.6113,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['avion', 'completamente', 'lleno', 'aterrizado', 'aeropuerto', 'internacional', 'benito', 'juez', 'vacuna', 'ruso', 'sputnik']",https://twitter.com/EdgarMendezE/status/1364114595523088385,Un avión completamente lleno aterriza en el Aeropuerto internacional Benito Juarez con la vacuna Rusa Sputnik V!,23,2,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
971,1,0.375,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['viaje', 'hora', 'metro', 'coyoacan', 'ubre', 'vacuna', 'reponer', 'hora', 'trabaje', 'sali', 'mediodia', 'fiebre', 'favorita', 'dios']",https://twitter.com/Thoughbutstill/status/1509388049762992129,"Viajé por 4 horas en metro a Coyoacán y Uber para conseguir una vacuna, me hicieron reponer las horas que no trabaje y salí a las 10pm y todavía me da fiebre porque no soy la favorita de Dios",30,3,2022,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
991,1,0.5555,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['vacuna', 'india', 'aval', 'sputnik', 'maiz']",https://twitter.com/ManuelVegaMX/status/1456453081072275457,"@ROLFICOMPAFUEGO @jo52170739 @Elforolibreorg @MinekoKia @NateHowl @liderponce574 @monamormafis @adnware @MexSinChairos @TQuedateencasa @maurotimauroti @ShelzyMx @DigiTesla75 @SapitoFifiWoWo @crucio22791848 @GianinoGian @secuaz @napoles_o @ricardorie2 @LiberwolfLiber @Vane_SiVal @arqvictorvargas @EligiodelaV @DigiTes1a75 @DeividHassel @Flightradar38 @blkalexmx @estanislaojr @JoDaSu85 @el_Barto__ @bago62 @AnalystTyrion @coyoacan_leon @alejand57047038 @mind_jacket @Hijode100Padres @pal4s_atenea @Ciudadano215 @Gabbicha_rueda @luis_gaymor @lorenmol19 @israelromero13 @ReporCerdo @amigodeamlo0101 @Valenlicder @Gustavo_CorCa @MxSinChairos @AztecPride__ @Calvargi @maria95747229 Pos ya hasta una vacuna india le dieron el aval...

...y la esputnik ni maíz...",4,11,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1004,1,0.6042,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['hora', 'vacuna', 'sentir', 'brazo', 'caer', 'dolor cabeza', 'empiezo', 'fiebre', 'vacuna', 'coyoacan', 'prepa', 'vacuna', 'sputnik']",https://twitter.com/AlexaCz/status/1443013470660833282,"A 12 horas de la vacuna siento que mi brazo se me cae, me duele la cabeza y empiezo con un poco de fiebre 🤧

#Vacunacion18a29
#Coyoacán 
#Prepa5
#VacunacionCDMX
#SputnikV",28,9,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1016,1,0.5555,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['vacuna', 'sputnik']",https://twitter.com/El_kasss/status/1441462685271482369,Ya me vi con mi vacuna sputnik en coyoacan. https://t.co/tCfKiz5Eqx,24,9,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1129,1,0.4787,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['sentir', 'alma', 'vacuna', 'alcaldia', 'coyoacan', 'desorden', 'casa', 'situacion', 'saldremos', 'abrazo', 'fuerte']",https://twitter.com/ToroNecaxista/status/1435791562336702468,"@santiagobaeza Noooooo, lo siento en el alma, la mía de 26, sin vacuna por ser alcaldía Coyoacán.
Llevamos 2 días con mucho desordene la casa por esta situación...
Saldremos adelante.
Te abrazo fuerte!!!",8,9,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1262,1,0.3457,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['amarillo', 'huevo', 'toque', 'naranja', 'tono', 'rojizo', 'bajar', 'guardia', 'puta', 'senal', 'vacuna', 'coyoacan']",https://twitter.com/riu115/status/1430501292242317318,Mientras tanto en CDMX estamos en amarillo huevo con un toque de naranja y tonos rojizos sin bajar la guardia y ni puta señal de mi vacuna por ser de Coyoacán...,25,8,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1367,1,0.3974,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['espiar', 'tranquilidad', 'gp', 'wifi', 'foto', 'efecto', 'vacuna', 'astrazeneca', 'coyoacan', 'distrito', 'federal', 'mexico']",https://twitter.com/krizov/status/1423712546910085124,"Ya pueden espiarme con tranquilidad porque ya soy GPS, 5G y WiFi. Y la foto es porque si no no hace efecto 😅
#Vacuna #AstraZeneca en Coyoacán, Distrito Federal, Mexico https://t.co/DY7MTbW6OZ",6,8,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1407,1,0.6309,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['coyoacan', 'efecto', 'secundario', 'vacuna', 'sputnik', 'dolor cabeza', 'mareo', 'tratamiento', 'paracetamol', 'quitar', 'vacuna', 'gracias']",https://twitter.com/KiritoShin1986/status/1418276348657811460,Buenas tardes soy de Coyoacán tuve efectos secundarios con la vacuna Sputnik V solo dolor de cabeza y mareo qué tratamiento se puede usar me dijeron qué solo con paracetamol pero no se me quita fui vacunado antier gracias @telediario https://t.co/nj5ky2gzPp,22,7,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1415,1,0.6663,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['vacuna', 'elaine', 'coyoacan', 'astrazeneca', 'cuerpo cortado', 'dolor cabeza', 'dolor brazo']",https://twitter.com/kovichVilleber/status/1415804453278699521,"@LaChinatriple Sabes que vacuna están poniendo en Tlalne? Acá en Coyoacán pusieron la Aztra Zeneca y tuve cuerpo cortado, dolor de cabeza y algo de dolor en el brazo por dos días.",15,7,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1454,1,0.4111,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['caminar', 'coyoacan', 'aparecer', 'poema', 'respetar', 'sano', 'distancia', 'abrazan', 'miedo', 'contagio', 'virus', 'vacuna', 'mujer', 'garganta']",https://twitter.com/hec55_11/status/1391050299926798343,"Caminaba por Coyoacán cuando de pronto, aparecieron: Poemas, que no respetan la Sana Distancia. Que te abrazan sin miedo al contagio. Que son el virus y la vacuna. 

@Marwanmusica | Una mujer en la garganta. ❤️ https://t.co/FyBttq5p6g",8,5,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1460,1,0.5277,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['vacuna', 'patria', 'mexicano', 'hot', 'cak', 'coyoacan', 'ame']",https://twitter.com/ig_Soria/status/1385438879411441666,"“La vacuna patria es tan mexicana como los hot cakes de Coyoacán.”

Amé. 😂",22,4,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1463,1,0.3271,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['oir', 'aplicacion', 'vacuna', 'estadio', 'cu', 'diluyen', 'agua', 'destilada', 'vacunacioncovid', 'pfizer']",https://twitter.com/montzepeque/status/1385019845612236807,"Oye @Claudiashein por qué en la aplicación de la vacuna en el estadio de CU, la diluyen con agua bidestilada?
#coyoacan #vacunacioncovid19 #Pfizer",21,4,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1590,1,0.2936,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['paz', 'papa', 'vacuna', 'llegar', 'vacuna', 'coyoacan', 'desastre', 'regresar', 'renunciar']",https://twitter.com/macarena4444/status/1371162955421716482,"@daniellemx_ No, aún NO TENGO PAZ. Mi papá aún no es vacunado @Alcaldia_Coy @AlcaldiaCoy @Claudiashein NO HA LLEGADO vacuna para Coyoacán y es un desastre con Negrete que al parecer renunció.",14,3,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1607,1,0.3493,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['quedar', 'esperar', 'famoso', 'llamado', 'mendigo', 'cita', 'vacuna', 'nadaaqui', 'coyoacan', 'pasar', 'alcalde', 'regresar']",https://twitter.com/barba_palacios/status/1361141722198245378,"ME HE QUEDADO ESPERANDO LA FAMOSA LLAMADA Y DE QUE ME DEN LA.MENDIGA CITA PARA LA VACUNA, Y NADA.aqui en Coyoacán no hay, que pasó, alcalde Negrete,",14,2,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1612,1,0.2778,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['miercoles', 'puse', 'vacuna', 'influenza', 'vacuna', 'servir']",https://twitter.com/cuauhtemoc_romo/status/1593738572007350272,"El miércoles me puse la vacuna contra la influenza. Vayan, las vacunas sí sirven.",18,11,2022,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1666,1,0.4437,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['pregunta', 'ayuno', 'sugerencia', 'mezcal', 'tequila', 'cerveza', 'ayudar', 'pasar', 'yu', 'olvidar', 'afectar', 'efecto', 'vacuna', 'sintoma', 'vacuna', 'afectar', 'sistema', 'inmunologico', 'alcohol', 'linfatico']",https://twitter.com/juliolhernandez/status/1429613197141712898,"@Cuauhtemoc_1521 Sólo una pregunta: ayuno de qué? Y como sugerencia: no hay nada que un buen mezcal o tequila junto con una buena cerveza ayuden a pasar y/u olvidar 🤭. Y no, no afecta sobre el efecto de la vacuna o los síntomas; la vacuna afecta al sistema inmunológico, el alcohol al linfático;)",22,8,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1673,1,0.7037,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['imaginate', 'sentir', 'vacuna', 'sentir', 'hinche', 'virus']",https://twitter.com/paximmop/status/1429090511856472084,"@Cuauhtemoc_1521 Imaginate, si eso se siente con la  vacuna, lo que se siente con en hinche virus.",21,8,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1674,1,0.5556,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['efecto', 'postvacuna']",https://twitter.com/gilbertoemilia4/status/1429087891783929865,@Cuauhtemoc_1521 Tuviste efectos post-vacuna?,21,8,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1675,1,0.8222,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['reaccion', 'vacuna', 'fiebre', 'seguido', 'animo']",https://twitter.com/AlingoLuengo/status/1428922638437691396,@Cuauhtemoc_1521 Yo tuve reacciones después del 4o día de la vacuna y estuve con fiebres 4 días seguidos. Ánimooo.,20,8,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1677,1,0.6396,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['noche', 'maestro', 'enrique', 'otis', 'pasar', 'similar', 'primero', 'dosis', 'vacuna', 'covid', 'cuerpo cortado', 'dolor brazo', 'izquierdo', 'fiebre', 'quitar', 'pastilla', 'paracetamol', 'saludo']",https://twitter.com/BenignoEspinos4/status/1428913733493919749,"@Cuauhtemoc_1521 Buenas Noches, Maestro Enrique Ortiz, me pasó algo similar con la primera dosis de la vacuna contra Covid-19, cuerpo cortado y dolor en el brazo izquierdo y fiebre. Se me quitó con una pastilla de Paracetamol. Saludos.",20,8,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1719,1,0.4222,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['caber', 'duda', 'ano', 'vacuna', 'sueno', 'dolor brazo']",https://twitter.com/marthasoria12/status/1414102946854277123,@Cuauhtemoc_1521 @Garcimonero No cabe duda que ya no los hacen como en mis tiempos 🤣🤣🤣🤣🤣 tengo 66 años y cada vacuna solo me dio mucho sueño y un POCO de dolor en el brazo,11,7,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1724,1,0.2778,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['unimo', 'club', 'vacuna', 'astrazeneca', 'temperatura', 'escalofrio']",https://twitter.com/Akus27/status/1413997630657548288,"@carloselpika @Cuauhtemoc_1521 @KyoWasTaken Nos unimos al club de la vacuna #aztrazeneca a temperatura y escalofrio, verdad @sakura092982",10,7,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1761,1,0.3561,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['pegaron', 'duro', 'efecto', 'secundario', 'vacuna', 'sentir', 'rudo', 'feliz', 'vacunada', 'eficiente', 'rapido', 'servicio', 'cuauhtemoc']",https://twitter.com/JoannaPirod/status/1408795234465681412,"Me pegaron bien duro los efectos secundarios de la vacuna ayer.
Hoy ya me siento mucho mejor pero estuvo rudo. Pero estoy muy muy feliz de ya estar vacunada. La verdad muy eficiente y rápido el servicio en la Cuauhtémoc. 🦠💉",26,6,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1762,1,0.4877,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['agradecer', 'vacuna', 'sentir', 'jaja', 'cuerpo', 'defender', 'dolor brazo', 'cabeza', 'cuerpo', 'batalla', 'epicar']",https://twitter.com/erikherdzglez/status/1408561597732249605,@Cuauhtemoc_1521 No es por nada y agradezco tener la vacuna pero te sientes muy mal jaja en lo que tu cuerpo se defiende te duele brazo cabeza y después el cuerpo es una batalla épica,25,6,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1763,1,0.5183,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['dias', 'alcohol', 'cafe', 'vacuna', 'metaboliza', 'higado', 'valer', 'pena']",https://twitter.com/rictello/status/1408516338419744779,"@Cuauhtemoc_1521 A mi me dijeron que 20 dias sin alcohol ni café después de la vacuna por que se metaboliza en el hígado 😢, pero bueno, vale la pena 👍",25,6,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
1765,1,0.4967,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['excelenteque', 'vacuna', 'reaccion', 'favor', 'pasar', 'jajaja']",https://twitter.com/chelseamex/status/1408507124833992706,@Cuauhtemoc_1521 ¡Excelente!¿Qué vacuna fue? Nos cuentas después si tuviste o no reacciones por favor. Yo la pasé muy mal. Jajaja.,25,6,2021,19.4416128,-99.1518637,Cuauhtémoc,"""vacuna CuauhtÃ©moc"""
